Sample	logFC	pval	pval_corr	log_pval
PNLIP	10.092524279930334	0.6590326552200304	1.0	-0.0
CELA2A	8.69141381138723	0.5823904877226942	1.0	-0.0
CLPS	8.054078006921454	0.6517330655113849	1.0	-0.0
MPO	7.817772646255178	0.4483335692536806	1.0	-0.0
AMY2A	7.285231481790422	0.6324411567536881	1.0	-0.0
DPPA3	7.1928277996450465	0.29552742975463997	1.0	-0.0
PRSS1	6.967869590108157	0.5522617281528923	1.0	-0.0
CELA3B	6.897677006399933	0.5197769249405768	1.0	-0.0
LIN28A	6.793619491821502	0.18763645523257388	1.0	-0.0
CPA1	6.719452556090433	0.4713231570844225	1.0	-0.0
C6orf221	6.4346724084479865	0.23857166014184977	1.0	-0.0
DPPA5	6.323543446717055	0.21439826986236826	1.0	-0.0
MAGEA4	6.2383538401803005	0.008650321074116401	1.0	-0.0
DNTT	6.232169034215369	0.31137397123864125	1.0	-0.0
SYCN	6.218029434573862	0.602296025961921	1.0	-0.0
TH	6.095277364746946	0.17180289382596411	1.0	-0.0
C10orf27	6.00623351136266	0.36113092972290795	1.0	-0.0
MT1B	5.9773031925551035	0.7761711138431664	1.0	-0.0
MMP13	5.959288909797845	0.1701668808727884	1.0	-0.0
TRY6	5.89733677807879	0.3294616741389086	1.0	-0.0
CCL25	5.817464838175507	0.2676302879093923	1.0	-0.0
NANOG	5.755197222981394	0.19016509135467982	1.0	-0.0
CTRC	5.6980807384686445	0.5198559547472184	1.0	-0.0
GAGE12D	5.697903750777008	0.11558974614483032	1.0	-0.0
CELA3A	5.692885521431846	0.5238937766421639	1.0	-0.0
CHGB	5.664719333535645	0.16556884172922548	1.0	-0.0
VGF	5.641993095758169	0.13450275622258656	1.0	-0.0
CLDN6	5.616482543233256	0.022166002075974574	1.0	-0.0
LIPF	5.522250139211537	0.6519868819549326	1.0	-0.0
CELA2B	5.479794226861932	0.570612602994527	1.0	-0.0
BCAN	5.4610174023381735	0.005493156833562383	1.0	-0.0
MAGEA9B	5.444397040756524	0.001401338329971331	1.0	-0.0
AZU1	5.435291230403578	0.3926523133416364	1.0	-0.0
LIN28B	5.385112589523872	0.054682816812437675	1.0	-0.0
DPPA4	5.348007479130749	0.1966622729311216	1.0	-0.0
ACCN4	5.341345244188352	0.018544990945949465	1.0	-0.0
DCAF4L2	5.267047829434621	0.07140767941965577	1.0	-0.0
PRTN3	5.1939826717632664	0.27695806927473426	1.0	-0.0
MAGEB2	5.144773044689108	0.020384725825778625	1.0	-0.0
PNMA5	5.090649455759893	0.15334262725405093	1.0	-0.0
C1orf61	5.00079590690894	0.006814226689679233	1.0	-0.0
CPB1	4.902729700943339	0.3252159660596061	1.0	-0.0
REG1B	4.897405013173437	0.3441512846606769	1.0	-0.0
ACTL8	4.888080000036991	0.0744072261778005	1.0	-0.0
IBSP	4.840399242973433	0.054963217492432034	1.0	-0.0
SCG3	4.825782924435588	0.007163161029780663	1.0	-0.0
RTL1	4.815638436590318	0.20453987368493223	1.0	-0.0
PNLIPRP1	4.791941657677508	0.44848223731463566	1.0	-0.0
CHGA	4.766680032343123	0.20835027226339775	1.0	-0.0
CPA2	4.759530745048644	0.514631708679486	1.0	-0.0
NLRP7	4.742630674771025	0.23414517899394113	1.0	-0.0
COL20A1	4.739047038734486	0.14684396009697334	1.0	-0.0
PRSSL1	4.7260877885383055	0.334352522362496	1.0	-0.0
GAGE2A	4.719337716747559	0.292638048190866	1.0	-0.0
MAGEA11	4.701799836011677	0.003162091172856605	1.0	-0.0
GAGE2D	4.6905813927876485	0.17153916164138056	1.0	-0.0
PHOX2A	4.669276406723464	0.13018921879316897	1.0	-0.0
CA9	4.6172414615497415	5.648081141975292e-06	0.11595510584475274	0.9357101233400892
C6orf218	4.616381666064372	0.0539530172878612	1.0	-0.0
TRIML2	4.596496415455654	0.12721122105877986	1.0	-0.0
AFP	4.592248678583944	0.4110584874408516	1.0	-0.0
GAGE2B	4.581713942908351	0.18790030172725736	1.0	-0.0
CTRB2	4.581180356260579	0.4988950146337444	1.0	-0.0
MMP1	4.57713975811652	0.01284296644478784	1.0	-0.0
ZIC2	4.5719153784763975	4.096640483189732e-08	0.0008410402911988521	3.075183198225649
MS4A3	4.554219931978878	0.43242280016931467	1.0	-0.0
MAGEA6	4.538375488833015	5.598873892257218e-05	1.0	-0.0
SLC6A3	4.52765627078929	0.026841824777981547	1.0	-0.0
DBH	4.511678466956342	0.18448478163969648	1.0	-0.0
SLC18A1	4.489267517885372	0.19069840556103554	1.0	-0.0
MAGEA3	4.486752476663444	5.608493235581782e-05	1.0	-0.0
TNR	4.486218767816647	0.15549041976180664	1.0	-0.0
PAGE2	4.4744164782979	0.16810526484496102	1.0	-0.0
FGF3	4.464157117124308	0.5372265462835275	1.0	-0.0
HMGA2	4.446047024256373	0.0028129018467926716	1.0	-0.0
ZSCAN10	4.439533608659771	0.3037185367001005	1.0	-0.0
PMP2	4.419179407611432	0.011309875464820034	1.0	-0.0
ELANE	4.418734772442319	0.4991874664688154	1.0	-0.0
CPLX2	4.411690908960014	0.01664429191596839	1.0	-0.0
POU5F1	4.39835566029871	0.13825949502806778	1.0	-0.0
GFAP	4.376380818224327	0.021016087249467647	1.0	-0.0
SOHLH1	4.375653707025512	0.04391210040070318	1.0	-0.0
NTS	4.3270408204977695	0.13279399692156854	1.0	-0.0
SILV	4.3090697292139115	0.06002047340015961	1.0	-0.0
LOC84740	4.306550772124809	4.4183300174834384e-05	0.9070831525893499	0.042352899207348575
TRIM48	4.304692839141825	0.5094279085991706	1.0	-0.0
GRM4	4.290826820128581	0.009852139379489333	1.0	-0.0
KHDC1L	4.289221576635771	0.2885225240864535	1.0	-0.0
ZIC5	4.276744759172447	3.6862446099709097e-09	7.567860184270278e-05	4.121026900094742
CTAG1B	4.276621268360191	0.04236834529765754	1.0	-0.0
SCG2	4.267608050330683	0.1013281927624151	1.0	-0.0
TSPY2	4.261513553126092	0.3921615196625189	1.0	-0.0
COL2A1	4.254489213774245	0.049224177930356494	1.0	-0.0
CHRNA9	4.239345244787448	0.4399423374823618	1.0	-0.0
MAGEA2	4.238950116268543	0.00030306731313867506	1.0	-0.0
RFX4	4.223146142446829	0.005175540737627781	1.0	-0.0
SOX1	4.219207735733489	0.011780964833869851	1.0	-0.0
ZDHHC22	4.2163744530301095	0.026923333342554596	1.0	-0.0
RTBDN	4.2073388414160515	0.08612105654700661	1.0	-0.0
TRPM1	4.205449740440442	0.06824463090898773	1.0	-0.0
OTX2	4.202638321507036	0.26334159118392353	1.0	-0.0
ARHGAP36	4.172515943101689	0.1930903588881869	1.0	-0.0
CTRB1	4.155211269432951	0.45248695478611856	1.0	-0.0
EPYC	4.15427370205728	0.01581128959622166	1.0	-0.0
PRDM14	4.147064909226434	0.27490821941909027	1.0	-0.0
SLC1A6	4.135208389001965	0.07173496118308248	1.0	-0.0
BRDT	4.13348820325819	0.024255541685906268	1.0	-0.0
SCRT1	4.128451799807088	0.014626772061500131	1.0	-0.0
GAGE1	4.127451341479376	0.2533489095316287	1.0	-0.0
SEZ6	4.124852069864252	0.011160526083743818	1.0	-0.0
KCNQ2	4.120240715230635	0.003236771915372607	1.0	-0.0
CARTPT	4.119521602690044	0.44177241678844004	1.0	-0.0
DAZ1	4.112661213779343	0.26752583629191984	1.0	-0.0
POU3F2	4.109068980695251	0.002297801097658961	1.0	-0.0
MAGEA10	4.108258795211151	0.010433272453275652	1.0	-0.0
CGA	4.105376580785348	0.4135770715283146	1.0	-0.0
NCAN	4.09851445675212	0.02237403255780117	1.0	-0.0
RNASE2	4.091294791790752	0.24733155693316808	1.0	-0.0
REG3A	4.090999729941496	0.30848680321595523	1.0	-0.0
GAPDHS	4.0908271218865675	0.1272295401554739	1.0	-0.0
CELP	4.085470640541276	0.5564297062431673	1.0	-0.0
DKFZp686A1627	4.084710895250118	0.26678987182463043	1.0	-0.0
BTBD17	4.0626287358148065	0.0550091748089204	1.0	-0.0
CGB	4.047787509036581	0.406857828567632	1.0	-0.0
CTAG2	4.04696883364436	0.012915355774674703	1.0	-0.0
AMTN	4.040178156776759	0.428349671062525	1.0	-0.0
MAGEC1	4.038551235644457	0.02762675983987369	1.0	-0.0
VCX3A	4.038084819643298	0.21585266779971501	1.0	-0.0
COL11A1	4.035081386236406	9.444976338774857e-06	0.1939053642350478	0.7124101763495744
DPPA2	4.032778734916703	0.25269129711234667	1.0	-0.0
RHOXF2B	4.032285498282329	0.41503523081681803	1.0	-0.0
TSPY3	4.023175358546162	0.3371315575352545	1.0	-0.0
LOC146481	4.004195669463864	0.30904356737456606	1.0	-0.0
PCSK1	3.993944074728926	0.13441433357847873	1.0	-0.0
SEPT14	3.990157605103697	0.7147517919572342	1.0	-0.0
PAGE1	3.985924284043733	0.39839559111441136	1.0	-0.0
PGA3	3.9753623319140052	0.7183744073483282	1.0	-0.0
MAGEA12	3.963758131801488	0.00047552997107404564	1.0	-0.0
DLK1	3.948481375211692	0.13428487687331253	1.0	-0.0
GDF3	3.948345318654267	0.3307619924791989	1.0	-0.0
SEZ6L	3.928372905313992	0.011289984372644052	1.0	-0.0
FGF19	3.9191052963808826	0.653115287919347	1.0	-0.0
SLIT1	3.918030235276346	0.0019083128950237837	1.0	-0.0
C7orf16	3.9175086924798057	0.503055316824202	1.0	-0.0
PRAME	3.9144728176120607	1.3010632785527216e-05	0.26710829108687373	0.573312631194676
CGB5	3.9091015052045046	0.32794200732347656	1.0	-0.0
SLC35D3	3.90606128155761	0.15354083569989088	1.0	-0.0
ZFP42	3.8712577634073093	0.06371029100674633	1.0	-0.0
IGLL1	3.8692294576119095	0.3763857944442607	1.0	-0.0
PRLHR	3.868828036969912	0.12057284915648844	1.0	-0.0
CLEC3A	3.863550512418601	0.3302250665297295	1.0	-0.0
GIP	3.8633748758728044	0.29149962337172	1.0	-0.0
REG4	3.8612603507140806	0.11208531615855934	1.0	-0.0
SOX11	3.8593435860114678	0.00024129493998628835	1.0	-0.0
GAGE12J	3.8527526629234172	0.24652916558612248	1.0	-0.0
CSAG2	3.8409354745375235	0.0010826183217400467	1.0	-0.0
MMD2	3.8277794022935927	0.05549585255387068	1.0	-0.0
NEUROD4	3.8268279454593683	0.12309943483508046	1.0	-0.0
IL1F7	3.799405555863701	0.3227005226958848	1.0	-0.0
KISS1R	3.798458369256443	0.0017808321007512613	1.0	-0.0
CDKN2A	3.7900469228153675	1.8782799822040273e-08	0.0003856108803464868	3.4138507205996635
TRIM67	3.7876346484698598	0.11463156506700284	1.0	-0.0
DSCAM	3.7870578749637325	0.011296218886572498	1.0	-0.0
NXF2	3.7805632597114416	0.03222576947215549	1.0	-0.0
RNASE3	3.779851830763492	0.3301930675008753	1.0	-0.0
TERT	3.779246353840938	0.04581852785796984	1.0	-0.0
CSAG1	3.771829846118922	0.00040925979109361984	1.0	-0.0
UTF1	3.759891701021046	0.20519176283852347	1.0	-0.0
ALPPL2	3.7454312273245853	0.19025189462145342	1.0	-0.0
FEZF1	3.7424882701404614	0.0012181693439037458	1.0	-0.0
SMC1B	3.739587149193339	0.0001319811017873904	1.0	-0.0
GTSF1	3.7373664968759965	0.0018726405253596035	1.0	-0.0
INSM1	3.7217345065989447	0.04971809261741156	1.0	-0.0
XAGE1D	3.721699809228089	0.009590070122362678	1.0	-0.0
GDAP1L1	3.71907621127085	0.023831333219324964	1.0	-0.0
LOC645323	3.7179121812701426	0.00533582700116693	1.0	-0.0
PENK	3.714890450832109	0.3417109665135656	1.0	-0.0
BIRC7	3.7107583082415196	0.013594728571149189	1.0	-0.0
DLL3	3.702571214758991	0.011584566122500679	1.0	-0.0
NXPH1	3.6934365356240244	0.006716884596666152	1.0	-0.0
FLJ16779	3.684696934133796	0.019521696597711368	1.0	-0.0
GAP43	3.672255797040097	0.010775891009694167	1.0	-0.0
PHOX2B	3.6698422954364385	0.13543900693060704	1.0	-0.0
REG1A	3.6608418626705834	0.24660873082918916	1.0	-0.0
SSX4	3.65106657136221	0.12856327702565795	1.0	-0.0
EPHA8	3.649798732964112	0.07403472198230505	1.0	-0.0
MAGEA1	3.6474277119993492	0.0030853887847024906	1.0	-0.0
CXorf61	3.6417211216204075	0.006043728548434802	1.0	-0.0
LOC339674	3.641225349457495	0.0014960103810228163	1.0	-0.0
IGF2BP1	3.6380779088621242	0.00427567537308505	1.0	-0.0
SPANXB2	3.6315871031587257	0.3950158271836063	1.0	-0.0
KREMEN2	3.6199616976546456	0.006050732460164859	1.0	-0.0
ASCL1	3.6138603773215614	0.09876666516570218	1.0	-0.0
REG3G	3.6119677885213695	0.42281758426411764	1.0	-0.0
CSMD3	3.60826262095619	0.012656760676046952	1.0	-0.0
FOXG1	3.607969348948238	0.004873396062918319	1.0	-0.0
MAGEC2	3.60645297962408	0.027339872370678336	1.0	-0.0
TYRP1	3.6010528421545454	0.18689426822687324	1.0	-0.0
ZIC3	3.598347597119968	0.10863161983167399	1.0	-0.0
LHFPL4	3.5788170640366963	0.0004348881478080026	1.0	-0.0
CSN3	3.578708631521664	0.7282432023838691	1.0	-0.0
CT45A5	3.5782219665131385	0.019576003637167452	1.0	-0.0
NANOS3	3.569509624650569	0.28205411853801593	1.0	-0.0
MLC1	3.561936860684069	0.00812318782071896	1.0	-0.0
CSAG3	3.5542630357100258	0.00012471798453122694	1.0	-0.0
PGA4	3.551530093138788	0.6384931289441593	1.0	-0.0
PSMB11	3.5499647416016495	0.4007768766537705	1.0	-0.0
CT45A1	3.5475808754870557	0.08412983250491744	1.0	-0.0
CELF3	3.546077289138349	0.011115403032750874	1.0	-0.0
DMRTA2	3.544423805705806	0.00013601209959442122	1.0	-0.0
C14orf115	3.5437498444221385	0.18092275514206785	1.0	-0.0
PAX3	3.53413099829251	0.022478132833456066	1.0	-0.0
CD70	3.5283946469031044	0.016580468316365362	1.0	-0.0
HESRG	3.5267501693607075	0.49070082267759085	1.0	-0.0
PNLIPRP2	3.522838037391857	0.5507577744695311	1.0	-0.0
INA	3.519746503057081	0.0011890737302211094	1.0	-0.0
CDK5R2	3.5154775426565394	0.025926058676481498	1.0	-0.0
HMP19	3.504822974802309	0.015297477916899681	1.0	-0.0
AMH	3.4652400049618066	2.4038329358149534e-07	0.004935069017228099	2.3067067693182093
PTPRN	3.4552914623175877	0.05446659468092177	1.0	-0.0
ZIC4	3.4524209691944003	0.016082245903847922	1.0	-0.0
IGF2BP3	3.450535115644966	5.461372230442023e-10	1.1212197189097472e-05	4.9503092729003475
ACTL6B	3.4472041827140996	0.01044388961773066	1.0	-0.0
KRT81	3.443998533297856	0.18905452217204263	1.0	-0.0
TCAM1P	3.4416810959710404	0.00015142720761992943	1.0	-0.0
CEL	3.440841466971734	0.4373750853022401	1.0	-0.0
NPTX2	3.440680116991463	0.02579248956926572	1.0	-0.0
FAM9C	3.438642766474725	0.3024275194381973	1.0	-0.0
DEFA6	3.4325376339488654	0.5407774261733138	1.0	-0.0
CST1	3.4230851589715137	0.009818545630496734	1.0	-0.0
PTPRZ1	3.420120258191666	0.0043907866894830365	1.0	-0.0
ATCAY	3.4112640453716523	0.009910350192824971	1.0	-0.0
PLAC1	3.400496809426108	0.00014151800881660894	1.0	-0.0
TMEM145	3.387644755057304	6.981287770310163e-05	1.0	-0.0
MLANA	3.3803400839803244	0.05125412617916413	1.0	-0.0
OTP	3.3754466443268427	0.697889521101537	1.0	-0.0
UPK2	3.3701973634611706	0.17570655387327944	1.0	-0.0
GBX2	3.367203149188993	0.00521478136360048	1.0	-0.0
C1QL1	3.3617662010960263	0.005158653261262019	1.0	-0.0
GPR26	3.359146373757101	0.45117672557007515	1.0	-0.0
COX7B2	3.358935630530185	0.057112468754769656	1.0	-0.0
DPEP3	3.3553701462542573	0.29775627923330544	1.0	-0.0
ST8SIA3	3.351473073711763	0.01283700260406174	1.0	-0.0
FOXH1	3.3478308563137795	0.17808070074190765	1.0	-0.0
VCY	3.3423995689586037	0.6758717389800544	1.0	-0.0
RLBP1	3.336643253585599	0.1695074710092226	1.0	-0.0
SST	3.327272039300171	0.5925774367422691	1.0	-0.0
TKTL1	3.3261739454342663	0.23929128647214495	1.0	-0.0
GAGE4	3.323889027711492	0.13227139121847795	1.0	-0.0
SCRT2	3.3047803376997726	0.03257105804741416	1.0	-0.0
ZIC1	3.3012531267875227	0.0015681945854625421	1.0	-0.0
MT3	3.3007526144915413	0.11101346727721759	1.0	-0.0
MUC17	3.294951354368636	0.16785100421065036	1.0	-0.0
GHRH	3.2939431429918504	0.6143090753429945	1.0	-0.0
NR2E1	3.284011217241414	0.008113536716387317	1.0	-0.0
MMP3	3.279963402111984	0.07622268301338597	1.0	-0.0
LOC100127888	3.2751545444610923	0.06023587786614478	1.0	-0.0
AMBN	3.274241834308757	0.5927842268948722	1.0	-0.0
GRIA2	3.2654918369178727	0.0047581813650566	1.0	-0.0
RGR	3.260441339010101	0.11080122388560278	1.0	-0.0
MYT1	3.251625011409268	0.0009342683646315475	1.0	-0.0
MAGEB1	3.2483618621327155	0.10677489370353208	1.0	-0.0
KCNK9	3.2367815002914764	0.0032513163778640267	1.0	-0.0
HMX1	3.2367226962716016	0.019790481271373596	1.0	-0.0
APC2	3.2346612249929	0.005693598579269517	1.0	-0.0
NPPB	3.234470889833257	0.521865774555969	1.0	-0.0
TUBA3C	3.233285431653943	0.1853861854269486	1.0	-0.0
GRIN2D	3.2318524250658776	1.2354873796620642e-09	2.536455590446218e-05	4.595772737128557
SLC24A5	3.2259232125691506	0.023125385468947872	1.0	-0.0
UNC13A	3.220479163809193	0.0027474336200675716	1.0	-0.0
CNGB1	3.2159450210219584	0.0619941504330701	1.0	-0.0
TLX3	3.214810643180391	0.006659676344976381	1.0	-0.0
AIRE	3.204796178717784	0.46582944799794335	1.0	-0.0
DPF1	3.2034684362098798	2.1516971408205026e-05	0.4417434230104492	0.35482990785749263
GPR158	3.1961429107547863	0.0002118304298429422	1.0	-0.0
MYBL2	3.1938236531218474	4.2966205793012984e-09	8.820962049305565e-05	4.054484046396555
LOC731789	3.191110290923715	0.21474004566059612	1.0	-0.0
C21orf96	3.1902203012777	0.195503493003749	1.0	-0.0
DMBX1	3.1831610651648	0.0006666795203018347	1.0	-0.0
UBE2C	3.177650305780891	3.1050681760535216e-22	6.37470496543788e-18	17.19553991047791
TROAP	3.174745119930778	6.563187412916396e-24	1.347422375871736e-19	18.870496244843714
PCDHGC4	3.1737116326800714	0.03173107069240828	1.0	-0.0
TSPAN10	3.1727570877567244	0.0559079114061638	1.0	-0.0
TSPY4	3.1719011540810924	0.36979931179689063	1.0	-0.0
?|340602	3.166030690986517	0.21231860861617796	1.0	-0.0
NPY	3.1618734502545713	0.11969542604611723	1.0	-0.0
UNC5A	3.1591391058739386	0.0008455916689633367	1.0	-0.0
DNMT3B	3.158207774096584	0.21245499972747375	1.0	-0.0
SPRYD5	3.157412055832158	0.10189388341209579	1.0	-0.0
TLX2	3.1567542437669496	0.07589204150115066	1.0	-0.0
TYR	3.1540808436126646	0.04640441311689057	1.0	-0.0
SSX1	3.1537754754750686	0.04121514804506085	1.0	-0.0
DAZ2	3.153307582311226	0.28431845609528783	1.0	-0.0
ZFR2	3.1525997536905606	0.0003367840585032658	1.0	-0.0
LOC157627	3.1478261505127243	0.02751537023906903	1.0	-0.0
PIWIL1	3.144595520275174	0.025041036348118346	1.0	-0.0
LOC284379	3.138881758444611	0.3138829360435727	1.0	-0.0
SPANXC	3.133053999703389	0.4934321967404024	1.0	-0.0
